simulation_id,team,points
13,Notre Dame (Cape Girardeau),0
13,Notre Dame (St. Louis),0
13,Notre Dame de Sion,67
13,Parkway Central,224
13,Parkway North,9
13,Parkway West,76
13,Platte County,8
13,Poplar Bluff,8
13,Principia,5
13,Rockwood Summit,108
13,STEAM Academy,0
13,Savannah,12
13,Smithville,0
13,St. Charles West,0
13,St. Dominic,0
13,St. Michael the Archangel,37
13,St. Pius X (Kansas City),0
13,St. Teresa's Academy,150
13,Summit Christian Academy,0
13,Timberland,26
13,Ursuline Academy,44
13,Villa Duchesne,144
13,Visitation Academy,168
13,Warrensburg,0
13,Washington,0
13,Webb City,16
13,Webster Groves,161
13,West Plains,22
14,Battle,0
14,Belton,0
14,Bolivar,0
14,Camdenton,0
14,Capital City,16
14,Carl Junction,9
14,Central (Cape Girardeau),64
14,Central (Springfield),1
14,Clayton,60
14,Father Tolton,143
14,Ft. Zumwalt East,12
14,Ft. Zumwalt South,8
14,Glendale,39
14,Grain Valley,101
14,Grandview,0
14,Greenwood,7
14,Hannibal,0
14,Hillcrest,0
14,Holt,0
14,Incarnate Word Academy,1
14,Jefferson City,0
14,John Burroughs,115
14,Kearney,41
14,Ladue Horton Watkins,44
14,Lebanon,41
14,Lincoln College Prep,0
14,Logan-Rogersville,0
14,Louisiana,94
14,Lutheran South,32
14,Lutheran St. Charles,0
14,Mehlville,32
14,Monett,12
14,Nerinx Hall,58
14,Nevada,14
14,New Covenant Academy,0
14,Notre Dame (Cape Girardeau),0
14,Notre Dame (St. Louis),0
14,Notre Dame de Sion,49
14,Parkway Central,219
14,Parkway North,2
14,Parkway West,85
14,Platte County,4
14,Poplar Bluff,2
14,Principia,18
14,Rockwood Summit,95
14,STEAM Academy,0
14,Savannah,4
14,Smithville,0
14,St. Charles West,0
14,St. Dominic,0
14,St. Michael the Archangel,34
14,St. Pius X (Kansas City),0
14,St. Teresa's Academy,139
14,Summit Christian Academy,0
14,Timberland,26
14,Ursuline Academy,56
14,Villa Duchesne,151
14,Visitation Academy,159
14,Warrensburg,0
14,Washington,0
14,Webb City,5
14,Webster Groves,164
14,West Plains,14
15,Battle,0
15,Belton,0
15,Bolivar,1
15,Camdenton,0
15,Capital City,12
15,Carl Junction,11
15,Central (Cape Girardeau),57
15,Central (Springfield),6
15,Clayton,53
15,Father Tolton,150
15,Ft. Zumwalt East,7
15,Ft. Zumwalt South,9
15,Glendale,26
15,Grain Valley,100
15,Grandview,0
